tir_70_180,tight_80_140,tbr_70,tbr_54,tar_180,mean_glucose,sd_glucose,cv_glucose,rmse_110,total_insulin_u,safety_interventions,return,normality_rmse,cohort,method,seed_index,subject_seed,day_seed,runtime_s
86.159169550173,60.207612456747405,0.0,0.0,13.84083044982699,116.55562879194343,42.38905583136051,36.36808987322844,42.82044968446093,44.46456679161626,0.0,-276.61497331017955,23.007505677560506,t1d,Fixed PID,3,900051,1000093,0.11459098000023
80.62283737024222,69.20415224913495,0.0,0.0,19.377162629757784,136.19577648336042,55.763506747725614,40.943638773217366,61.5225782711941,53.30783588757643,0.0,-661.6475427196007,46.62382914173504,t1d,Fixed PID,4,900068,1000124,0.1155225950001295
76.8166089965398,65.7439446366782,0.0,0.0,23.18339100346021,141.7941318441633,48.41395326488393,34.14383418778751,57.85038696690428,62.45302412070741,0.0,-544.5941656987653,27.212233293913496,t1d,Fixed PID,5,900085,1000155,0.1192811040000378
84.77508650519032,71.280276816609,0.0,0.0,15.22491349480969,125.6167823463456,43.33551395570668,34.49818817697759,45.99296148048698,49.34848822126369,0.0,-333.0279692915642,24.270064206317954,t1d,Fixed PID,6,900102,1000186,0.1147063309999794
77.85467128027682,66.43598615916954,0.0,0.0,22.145328719723185,143.33258224715084,58.65671883398574,40.92350665450438,67.37778919213648,51.90201031817678,0.0,-798.2365753102702,38.23087274442703,t1d,Fixed PID,7,900119,1000217,0.1209030600002734
93.07958477508652,76.8166089965398,0.0,0.0,6.920415224913495,125.39400034439036,39.45793733066413,31.46716527289523,42.29085915471876,39.67528145970613,0.0,-300.55929987479493,25.49476762712109,t1d,Fixed PID,8,900136,1000248,0.1122835290002512
86.50519031141869,70.58823529411765,1.384083044982699,0.0,12.110726643598616,117.72718491660034,39.31252319511251,33.39290175243898,39.99795249936124,45.20399533663426,0.0,-245.1921489405427,26.52210281690336,t1d,Fixed PID,9,900153,1000279,0.1137807550003344
82.00692041522491,63.66782006920416,3.460207612456748,0.0,14.53287197231834,123.72292381266251,49.21084941803901,39.77504564356447,51.00634006663119,38.69897677810396,0.0,-430.1495423484748,24.04053122510057,t1d,Fixed PID,10,900170,1000310,0.1122821819999444
84.77508650519032,73.01038062283737,0.0,0.0,15.22491349480969,129.01323992086327,38.649231292074575,29.95756971593149,43.01276137819802,53.32976894530717,0.0,-282.84997265086906,26.137425759041125,t1d,Fixed PID,11,900187,1000341,0.130115453000144
85.46712802768167,73.70242214532871,0.0,0.0,14.53287197231834,123.10044130195656,39.05480229835428,31.72596449313748,41.12932491261256,47.71998696665688,0.0,-256.2615109604625,18.931369619524627,t1d,Fixed PID,12,900204,1000372,0.132913002999885
94.11764705882352,68.5121107266436,0.0,0.0,5.88235294117647,123.19435470782756,39.43954811665539,32.014087179718366,41.52332687946394,48.02373760623823,0.0,-278.0158530442846,27.10347742675541,t1d,Fixed PID,13,900221,1000403,0.1187499080001543
81.31487889273356,68.85813148788927,0.0,0.0,18.68512110726644,131.54095544085587,54.666015685199255,41.5581713710286,58.6689495411208,53.43165274054263,0.0,-587.7189242784864,31.049522922628984,t1d,Fixed PID,14,900238,1000434,0.112439471000016
85.12110726643598,76.8166089965398,0.0,0.0,14.878892733564014,126.93774669150072,46.81761729051545,36.88234470105824,49.71108688958612,38.07935842300644,0.0,-411.941604054852,36.74592969753768,t1d,Fixed PID,15,900255,1000465,0.1133795579999059
82.00692041522491,62.28373702422145,0.0,0.0,17.99307958477509,137.63868779411706,35.000504121026985,25.42926315410788,44.549898712288034,52.978609523348965,0.0,-294.7343718459513,20.53624411373489,t1d,Fixed PID,16,900272,1000496,0.1151348889998189
91.34948096885812,75.77854671280276,0.0,0.0,8.650519031141869,119.16707070195548,33.34117217275156,27.978511157784503,34.52278180423307,44.0058600704416,0.0,-175.2256449572283,22.698679126290727,t1d,Fixed PID,17,900289,1000527,0.1161685160000161
85.81314878892734,78.20069204152249,0.0,0.0,14.186851211072666,127.96016542387056,42.361827905031646,33.10548072887157,45.94434217941448,47.90389640286961,0.0,-338.7417947014572,30.31618308859186,t1d,Fixed PID,18,900306,1000558,0.111711428000035
77.50865051903114,55.36332179930796,0.0,0.0,22.491349480968857,145.74347430494458,42.29364478195694,29.019237385177437,55.31870289239952,67.15827584281746,0.0,-475.2356063128777,29.99297648020481,t1d,Fixed PID,19,900323,1000589,0.1106464049998976
89.27335640138409,71.62629757785467,0.0,0.0,10.726643598615915,120.85988392200608,36.330788690139855,30.06025449568115,37.85889680033249,50.7806122342918,0.0,-212.80591554316976,24.56609212554103,t1d,Fixed PID,20,900340,1000620,0.1188071279998439
86.85121107266436,67.82006920415225,0.0,0.0,13.14878892733564,129.8866500368887,37.93674838299748,29.207580896283936,42.77494368870521,54.395084763821146,0.0,-276.7346546262433,27.58126466454951,t1d,Fixed PID,21,900357,1000651,0.1208543030002147
95.50173010380622,77.85467128027682,0.0,0.0,4.498269896193772,114.75943345755287,32.97875976848347,28.737297470784075,33.26390665215828,45.724168274526576,0.0,-167.4320039426044,23.42226957690192,t1d,Fixed PID,22,900374,1000682,0.1136733660000572
